value,x,y,z
-214.66478,0.0,0.0,0.0
-188.83380499999998,0.0,0.0,0.5
-163.00283,0.0,0.0,1.0
-16.61582,0.0,0.0,1.5
129.77119,0.0,0.0,2.0
15.257672999999997,0.0,0.0,2.5
-99.255844,0.0,0.0,3.0
-153.885877,0.0,0.0,3.5
-208.51591,0.0,0.0,4.0
-216.57938000000001,0.0,0.0,4.5
-224.64285,0.0,0.0,5.0
-225.18699500000002,0.0,0.0,5.5
-225.73114,0.0,0.0,6.0
-225.24454,0.0,0.0,6.5
-224.75794,0.0,0.0,7.0
-224.37562,0.0,0.0,7.5
-223.9933,0.0,0.0,8.0
-223.855665,0.0,0.0,8.5
-223.71803,0.0,0.0,9.0
-223.69195000000002,0.0,0.0,9.5
-223.66587,0.0,0.0,10.0
-223.66070000000002,0.0,0.0,10.5
-223.65553,0.0,0.0,11.0
-223.657755,0.0,0.0,11.5
-223.65998,0.0,0.0,12.0
-223.65467999999998,0.0,0.0,12.5
-223.64938,0.0,0.0,13.0
-223.643875,0.0,0.0,13.5
-223.63837,0.0,0.0,14.0
-223.633805,0.0,0.0,14.5
-223.62924,0.0,0.0,15.0
-223.62604,0.0,0.0,15.5
-223.62284,0.0,0.0,16.0
-223.62119,0.0,0.0,16.5
-223.61954,0.0,0.0,17.0
-223.61972,0.0,0.0,17.5
-223.6199,0.0,0.0,18.0
-223.62186,0.0,0.0,18.5
-223.62382,0.0,0.0,19.0
-215.22018,0.0,0.5,0.0
-201.134905,0.0,0.5,0.5
-187.04962999999998,0.0,0.5,1.0
-111.44029,0.0,0.5,1.5
-35.83095,0.0,0.5,2.0
-95.104556,0.0,0.5,2.5
-154.378162,0.0,0.5,3.0
-184.74996850000002,0.0,0.5,3.5
-215.121775,0.0,0.5,4.0
-220.07506500000002,0.0,0.5,4.5
-225.028355,0.0,0.5,5.0
-225.25757000000002,0.0,0.5,5.5
-225.486785,0.0,0.5,6.0
-225.033905,0.0,0.5,6.5
-224.581025,0.0,0.5,7.0
-224.2522175,0.0,0.5,7.5
-223.92341,0.0,0.5,8.0
-223.8125225,0.0,0.5,8.5
-223.701635,0.0,0.5,9.0
